trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
2156,20:05:00,20:05:00,25,3,,0,0,1
2156,20:11:00,20:11:00,90,4,,0,0,1
2156,20:18:00,20:18:00,17,5,,0,0,1
2156,20:32:00,20:32:00,120,6,,0,0,1
2156,20:42:00,20:42:00,87,7,,0,0,1
2157,20:25:00,20:25:00,113,1,,0,0,1
2157,20:31:00,20:31:00,89,2,,0,0,1
2157,20:39:00,20:39:00,25,3,,0,0,1
2157,20:45:00,20:45:00,90,4,,0,0,1
2157,20:52:00,20:52:00,17,5,,0,0,1
2157,21:06:00,21:06:00,120,6,,0,0,1
2157,21:16:00,21:16:00,87,7,,0,0,1
2218,09:21:00,09:21:00,62,1,,0,0,1
2218,09:23:00,09:23:00,61,2,,0,0,1
2218,09:27:00,09:27:00,37,3,,0,0,1
2218,09:30:00,09:30:00,103,4,,0,0,1
2218,09:36:00,09:36:00,105,5,,0,0,1
2218,09:39:00,09:39:00,39,6,,0,0,1
2218,09:43:00,09:43:00,104,7,,0,0,1
2218,09:45:00,09:45:00,142,8,,0,0,1
2218,09:51:00,09:51:00,16,9,,0,0,1
2219,14:53:00,14:53:00,62,1,,0,0,1
2219,14:55:00,14:55:00,61,2,,0,0,1
2219,14:59:00,14:59:00,37,3,,0,0,1
2219,15:02:00,15:02:00,103,4,,0,0,1
2219,15:08:00,15:08:00,105,5,,0,0,1
2219,15:11:00,15:11:00,39,6,,0,0,1
2219,15:15:00,15:15:00,104,7,,0,0,1
2219,15:17:00,15:17:00,142,8,,0,0,1
2219,15:23:00,15:23:00,16,9,,0,0,1
2220,15:37:00,15:37:00,62,1,,0,0,1
2220,15:39:00,15:39:00,61,2,,0,0,1
2220,15:43:00,15:43:00,37,3,,0,0,1
2220,15:46:00,15:46:00,103,4,,0,0,1
2220,15:52:00,15:52:00,105,5,,0,0,1
2220,15:55:00,15:55:00,39,6,,0,0,1
2220,15:59:00,15:59:00,104,7,,0,0,1
2220,16:01:00,16:01:00,142,8,,0,0,1
2220,16:07:00,16:07:00,16,9,,0,0,1
2221,16:21:00,16:21:00,62,1,,0,0,1
2221,16:23:00,16:23:00,61,2,,0,0,1
2221,16:27:00,16:27:00,37,3,,0,0,1
2221,16:30:00,16:30:00,103,4,,0,0,1
2221,16:36:00,16:36:00,105,5,,0,0,1
2221,16:39:00,16:39:00,39,6,,0,0,1
2221,16:43:00,16:43:00,104,7,,0,0,1
2221,16:45:00,16:45:00,142,8,,0,0,1
2221,16:51:00,16:51:00,16,9,,0,0,1
2222,17:05:00,17:05:00,62,1,,0,0,1
2222,17:07:00,17:07:00,61,2,,0,0,1
2222,17:11:00,17:11:00,37,3,,0,0,1
2222,17:14:00,17:14:00,103,4,,0,0,1
2222,17:20:00,17:20:00,105,5,,0,0,1
